name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
vancouver,2021-01-02T02:00:00,8.4,6.3,6.9,89.95,0,0,,0,0,51.8,12.6,102,1006.1,96.6,32,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T03:00:00,8.5,6.3,6.9,89.42,0,0,,0,0,55.4,13.3,104,1006.4,98.6,32,0,,0,,Overcast,cloudy,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T04:00:00,7.8,5.3,7.1,95.56,0.192,100,rain,0,0,,14.3,115,1006.4,100,32,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T05:00:00,7.8,5.5,6.9,94.23,0.174,100,rain,0,0,64.8,12.9,107,1006.2,99.3,24,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T06:00:00,7.8,5.7,6.9,94.23,0.15,100,rain,0,0,59,11.6,108,1006.5,99.1,24,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T07:00:00,7.8,5.5,7,94.57,0.129,100,rain,0,0,,13.5,103,1006.2,100,24,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T08:00:00,7.8,5.5,7.3,96.33,1.034,100,rain,0,0,70.2,13,117,1005.8,99.3,19,3.9,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T09:00:00,7.8,5.3,7.4,97.01,0.911,100,rain,0,0,59,14.5,117,1005.2,99.5,19,19.3,0.1,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T10:00:00,7.9,5.2,7,94.31,3.355,100,rain,0,0,,15.7,108,1004.5,100,19,7,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-02T11:00:00,7.7,4.8,6.3,91.01,0.757,100,rain,0,0,56.7,16.9,117,1003.2,99.7,19,13,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-02T12:00:00,7.6,4.3,6.6,93.36,0.626,100,rain,0,0,61.3,20.4,117,1002,99.6,24,13,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-02T13:00:00,7.8,4.3,6.5,91.85,1.325,100,rain,0,0,,22.5,111,1000.3,100,24,13,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-02T14:00:00,8.1,5.1,7.3,94.84,1.617,100,rain,0,0,64.6,18.7,110,998.9,99.4,19,14,0.1,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-02T15:00:00,8.2,5.8,7.5,95.25,1.332,100,rain,0,0,59.3,14.2,106,998.9,99.4,16,9,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-02T16:00:00,8,5.1,7.5,96.58,3.764,100,rain,0,0,,18,190,998.9,100,19,5,0,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999,F1856"
vancouver,2021-01-02T17:00:00,7.8,5,7.5,98.12,0.818,100,rain,0,0,44.4,17.3,193,999.4,98.6,24,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
vancouver,2021-01-02T18:00:00,7.7,5.4,7.1,95.65,0.227,100,rain,0,0,35.3,12.7,258,999.7,98.4,32,0,,0,,"Rain, Overcast",rain,"CWWA,71211099999,71775099999,71784099999,71892099999,71042099999"
